original;translation
Agni;阿格尼
Aldeburgh;奥尔德堡
Alfred;阿尔弗雷德
Almgren;阿尔姆格伦
Alsike;阿尔西克
Anglia;盎格利亚
Balder;巴德尔
Bede;比德
Beowulf;《贝奥武夫》
Bornholm;博恩荷姆
Billerbeck;比勒贝克
Björn;比约恩
Björkö;比约克岛
Böðvarr Bjarki;博德瓦尔·比亚基
Brandenburg;勃兰登堡
Broomfield;布鲁姆菲尔德
Brøgger;布勒格
Brynhildr;布伦希尔德
Charles the Great;查理曼大帝
Charon;卡戎
Dan the Proud;高傲的丹
Deben;德本
Dómarr;多马尔
Egill;埃吉尔
Egils Saga;《埃吉尔萨迦》
Engelstad;恩格尔斯塔德
Eyrbyggja Saga;《埃尔比格亚萨迦》
Eysteinn;埃斯泰因
Eyvindr;埃温德
Farmanns;法尔曼斯
Flóamanna Saga;《弗洛伊人萨迦》
Fjölnir;弗约尔尼尔
Fornaldar Sögur;远古萨迦
Freyr;弗雷
the Frosta Thing;弗罗斯塔议会
Fyen;菲恩
Gísla saga;《吉斯利萨迦》
Glamr;格拉姆
Gokstad;戈克斯塔德
Gotland;哥特兰
Greenland;格陵兰
Grettir;格雷蒂尔
Grettis Saga;《格雷蒂尔萨迦》
Grima;格里玛
Gunnarr;贡纳尔
Hake;哈克
Hákon;哈康
Hákonar Saga Góða;《好人哈康萨加》
Hålogaland;哈洛格兰
Harald Hárfagr;哈拉尔·哈尔法格
Harald the Fairhaired;金发哈拉尔
Harðar Saga;《霍德尔萨迦》
Hàvamàl;《高人之言》
the Hebrides;赫布里底群岛
Hjortspring;约特斯普林
Höskuldr;霍斯库尔德
Hrafnkell;赫拉芬凯尔
Hrafnkels Saga;《赫拉芬凯尔萨迦》
Hrappr;赫拉普尔
Hrólfr;罗洛
Hrútr;赫鲁特
Ingjaldr;英格亚尔德
Íslendinga Sögur;冰岛人萨迦
the Isle of Man;马恩岛
Jellinge;耶灵
Jylland;日德兰
Karmø;卡尔默
Kárr the Old;老卡尔
Kotkell;科特凯尔
La Tène;拉坦诺
Ladby;拉德比
Landnámabók;《殖民之书》
Laxdæla Saga;《鲑鱼河谷萨迦》
Lindqvist;林德奎斯特
Merovingian;墨洛温王朝
Montelius;蒙特留斯
Njáls Saga;《尼亚尔萨迦》
Njörðr;尼奥尔德
Odense;奥登塞
Oddr;奥德尔
Othin;奥丁
Olaf of Geirstaðr;盖尔斯塔德的奥拉夫
Olaf Tryggvason;奥拉夫·特里格瓦松
Óláf, Olaf the Holy;圣奥拉夫
Öland;厄兰
Ølbør;厄尔伯尔
the Orkneys;奥克尼群岛
Oseberg;奥塞伯格
Poetic Edda;《诗体埃达》
Pomerania;波美拉尼亚
Prose Edda;《散文埃达》
Ragnarrökr;诸神黄昏
Redwald;雷德沃尔德
Rendlesham;伦德尔沙姆
Rögnvaldr;罗格瓦尔德
Samr;萨姆
Saxo Grammaticus;萨克索·格拉玛提库斯
Scythia;斯基泰
Seddin;赛丁
Shetelig;谢特利格
Sigtúnir;西格图尼尔
Sigurðr;西古尔德
Skallagrimr;秃头格里姆
Skåne;斯堪尼
Skeggi;斯凯吉
Skjöldunga Saga;《斯克约尔敦萨迦》
Snape;斯内普
Snorri Sturlason;斯诺里·斯图拉松
Sóti;索提
Stavanger;斯塔万格
Suffolk;萨福克郡
Sutton Hoo;萨顿胡
Svarfdæla Saga;《史瓦达尔萨迦》
Sveigðir;斯维格迪尔
Teuton;条顿
Thracia;色雷斯
Thuizy;图伊齐
Tuna;图纳
Uppland;乌普兰
Uppsala;乌普萨拉
Valhöll;瓦尔哈拉
Valkyrie;女武神
Vanlandi;万兰迪
Vendel;文德尔
Vemmerlöv;韦默洛夫
Vestfold;韦斯特福尔德
Visburr;维斯布尔
Woodbridge;伍德布里奇
Yngling;英格林
Ynglinga Saga;《英格林萨迦》
Þjóstólfr;西奥斯托夫
Þjóðólfr;西奥多夫
Þorarinn Korni;索林·科尔尼
Þorgils;索尔吉尔斯
Þórólfr Bægifótr;索罗尔夫·巴吉福特
Þorsteinn;索尔斯坦
